job_id,topology,p_ws,gamma,epsilon,init_dist,run,n_clusters,polarised,std_opinion,mean_cluster_size,max_cluster_frac,convergence_step
57,ws,0.0,0.0,0.1,bimodal,7,7,True,0.3035863248796872,142.85714285714286,0.462,1000
58,ws,0.0,0.0,0.1,bimodal,8,7,True,0.3024136712277161,142.85714285714286,0.464,1000
59,ws,0.0,0.0,0.1,bimodal,9,7,True,0.3014364553697477,142.85714285714286,0.467,1000
60,ws,0.0,0.0,0.1,bimodal,10,7,True,0.2971418998410406,142.85714285714286,0.467,1000
61,ws,0.0,0.0,0.1,bimodal,11,6,True,0.3013584229912773,166.66666666666666,0.464,1000
62,ws,0.0,0.0,0.1,bimodal,12,6,True,0.3048753287968115,166.66666666666666,0.47,1000
63,ws,0.0,0.0,0.1,bimodal,13,8,True,0.30135745556128557,125.0,0.461,1000
64,ws,0.0,0.0,0.1,bimodal,14,7,True,0.2972047266721252,142.85714285714286,0.466,1000
65,ws,0.0,0.0,0.1,bimodal,15,7,True,0.2998694673421662,142.85714285714286,0.459,1000
66,ws,0.0,0.0,0.1,bimodal,16,7,True,0.30121368859837316,142.85714285714286,0.445,1000
67,ws,0.0,0.0,0.1,bimodal,17,6,True,0.30081971616917036,166.66666666666666,0.468,1000
68,ws,0.0,0.0,0.1,bimodal,18,6,True,0.3015411220389391,166.66666666666666,0.458,1000
69,ws,0.0,0.0,0.1,bimodal,19,6,True,0.3039693910621113,166.66666666666666,0.477,1000
70,ws,0.0,0.0,0.1,bimodal,20,6,True,0.305765172434334,166.66666666666666,0.463,1000
71,ws,0.0,0.0,0.1,bimodal,21,6,True,0.3026469221161023,166.66666666666666,0.459,1000
72,ws,0.0,0.0,0.1,bimodal,22,8,True,0.3007262995897967,125.0,0.461,1000
73,ws,0.0,0.0,0.1,bimodal,23,6,True,0.3007432395510872,166.66666666666666,0.457,1000
74,ws,0.0,0.0,0.1,bimodal,24,6,True,0.3021227985569885,166.66666666666666,0.443,1000
75,ws,0.0,0.0,0.1,bimodal,25,6,True,0.3011110751007693,166.66666666666666,0.461,1000
76,ws,0.0,0.0,0.1,bimodal,26,6,True,0.3023227527178254,166.66666666666666,0.446,1000
77,ws,0.0,0.0,0.1,bimodal,27,7,True,0.30057866669936784,142.85714285714286,0.471,1000
